,No,시군구명,어린이집코드,어린이집명,어린이집유형,운영현황,우편번호,상세주소,전화번호,팩스번호,홈페이지주소,보육실수,보육실 면적,놀이터수,CCTV총설치수,보육교직원수,정원,현원,시설 위도(좌표값),시설 경도(좌표값),통학차량운영여부,인가일자,휴지시작일자,휴지종료일자,폐지일자,데이터기준일자,제공서비스,반수-만0세,반수-만1세,반수-만2세,반수-만3세,반수-만4세,반수-만5세,반수-영아혼합(만0~2세),반수-유아혼합(만3~5세),반수-특수장애,반수-총계,아동수-만0세,아동수-만1세,아동수-만2세,아동수-만3세,아동수-만4세,아동수-만5세,아동수-영아혼합(만0~2세),아동수-유아혼합(만3~5세),아동수-특수장애,아동수-총계,근속년수-1년미만,근속년수-1년이상~2년미만,근속년수-2년이상~4년미만,근속년수-4년이상~6년미만,근속년수-6년이상,교직원현황-원장,교직원현황-보육교사,교직원현황-특수교사,교직원현황-치료교사,교직원현황-영양사,교직원현황-간호사,교직원현황-간호조무사,교직원현황-조리원,교직원현황-사무직원,교직원현황-총계,데이터수집일,경도,위도,상태
0,2,서초구,11650000454,서초구립 라클라스어린이집,국공립,정상,6599,서울특별시 서초구 서초중앙로 206,02-534-2122,02-534-2123,,11,2320.0,1,0,0,68,0,37.50035844,127.0142041,,2021-08-01,,,,2021-07-23,장애아통합,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,04:40.0,127.0118267,37.50032018,인근좌표
1,3,금천구,11545000341,봄빛어린이집,가정,정상,8606,서울특별시 금천구 벚꽃로 100 독산역롯데캐슬아파트 106동 103호,02-892-2006,,,3,64.0,0,4,6,19,14,37.56647,126.977963,미운영,2021-07-02,,,,2021-07-23,일반,2,0,0,0,0,0,2,0,0,4,6,0,0,0,0,0,8,0,0,14,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,04:00.0,126.8904633,37.46503156,인근좌표
2,4,금천구,11545000340,구립독산롯데캐슬어린이집,국공립,정상,8606,서울특별시 금천구 벚꽃로 100 독산역 롯데캐슬아파트 단지내,02-805-7605,,,5,258.0,1,14,12,69,44,37.56647,126.977963,,2021-07-01,,,,2021-07-23,야간연장,0,3,2,1,0,0,0,1,0,7,0,15,14,8,0,0,0,7,0,44,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,04:00.0,126.8904633,37.46503156,인근좌표
3,5,은평구,11380000677,구립 푸른들어린이집,국공립,정상,3473,서울특별시 은평구 은평로 240,02-6748-0202,02-6748-0203,,4,343.0,1,20,12,49,38,37.600415,126.9344898,미운영,2021-07-01,,,,2021-07-23,야간연장,3,3,2,0,0,0,0,0,0,8,9,15,14,0,0,0,0,0,0,38,1.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,03:01.0,126.9346713,37.60234334,인근좌표
4,6,마포구,11440000471,근로복지공단 마포어린이집,법인?단체등,정상,3977,서울특별시 마포구 연남로 49-1,02-322-7333,,https://www.kcomwel.or.kr/kidsㅡmapo/index.jsp,6,210.0,2,16,10,60,25,37.56365368,126.9203781,미운영,2021-07-01,,,,2021-07-23,일반,2,0,0,0,0,0,5,0,0,7,5,0,0,0,0,0,20,0,0,25,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,03:20.0,126.9205421,37.56372324,인근좌표
5,7,송파구,11710000811,위례아이숲어린이집,국공립,정상,5846,서울특별시 송파구 위례북로 30 (거여동 위례포레샤인 17단지),02-448-1718,,,9,393.0,1,0,0,140,0,37.56647,126.977963,,2021-06-16,,,,2021-07-23,야간연장,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,05:02.0,127.1505795,37.48821933,인근좌표
6,8,광진구,11215000359,구립 중곡하나어린이집,국공립,정상,4905,서울특별시 광진구 동일로76길 59,02-465-1004,02-465-1005,,5,110.0,1,14,9,38,23,37.56807936,127.0819513,미운영,2021-06-01,,,,2021-07-23,야간연장,3,2,1,0,0,0,0,1,0,7,6,8,5,0,0,0,0,4,0,23,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,01:50.0,127.0819348,37.56810628,정좌표
7,9,은평구,11380000676,구립 꿈여울어린이집,국공립,정상,3328,서울특별시 은평구 통일로89길 5-6,02-358-2525,02-359-2525,,5,171.0,1,32,7,64,17,37.6244889,126.9191196,미운영,2021-06-01,,,,2021-07-23,장애아통합야간연장,2,0,0,0,0,0,1,1,0,4,6,0,0,0,0,0,5,6,0,17,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,03:01.0,126.9190205,37.62437822,정좌표
8,10,광진구,11215000360,구립 자양도담어린이집,국공립,정상,5054,서울특별시 광진구 아차산로44가길 5 (자양동 231-51),02-455-7000,02-455-7887,,11,280.0,3,24,10,85,55,37.53617752,127.0799463,미운영,2021-06-01,,,,2021-07-23,일반,0,1,2,1,1,1,0,0,0,6,0,4,11,8,14,18,0,0,0,55,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,01:50.0,127.0799341,37.53620482,정좌표
9,11,강서구,11500000745,근로복지공단 곰달래어린이집,법인?단체등,정상,7740,서울특별시 강서구 곰달래로53길 30-20,02-2646-7142,02-2646-7144,https://www.kcomwel.or.kr/kids-gomdallae/index.jsp,5,216.0,1,32,14,70,38,37.533652,126.860232,미운영,2021-05-31,,,,2021-07-23,야간연장,2,2,2,1,0,0,0,1,0,8,6,6,10,8,0,0,0,8,0,38,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,03:41.0,126.8601987,37.53364924,정좌표
