,Unnamed: 0,상가업소번호,상권업종대분류명,상권업종중분류명,상권업종소분류명,지번주소,도로명주소,위도,경도
0,899,22433281,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 성북구 돈암동 173-1,서울특별시 성북구 보문로34다길 2,37.5916757,127.0219903
1,1083,22076783,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 송파구 문정동 70-13,서울특별시 송파구 새말로 103,37.4828841,127.1255692
2,1315,22473921,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 양천구 목동 713-5,서울특별시 양천구 목동중앙남로3가길 127,37.54126169,126.8639008
3,2197,21923752,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 관악구 봉천동 1666-43,서울특별시 관악구 남부순환로 1841,37.48083808,126.9546923
4,2665,20901429,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 서초구 서초동 1701-1,서울특별시 서초구 서초중앙로 157,37.49826359,127.0111089
5,3911,22040206,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 송파구 잠실동 19-6,서울특별시 송파구 올림픽로 105,37.51209354,127.0824146
6,4309,22039831,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 송파구 가락동 192,서울특별시 송파구 동남로18길 9,37.49579438,127.1314124
7,4473,21877133,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 서초구 방배동 1015,서울특별시 서초구 방배로 14,37.4764844,127.0024529
8,4622,23015816,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 광진구 자양동 680-65,서울특별시 광진구 자양로 76,37.53559477,127.0872864
9,5424,22039785,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 송파구 마천동 128-75,서울특별시 송파구 거마로20길 34,37.49649576,127.149793
10,6199,22068904,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 양천구 신정동 1272,서울특별시 양천구 신정로 306,37.51310879,126.8550411
11,6341,22058850,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 도봉구 도봉동 626,서울특별시 도봉구 마들로 749,37.67718854,127.0467726
12,8323,22576754,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 구로구 고척동 174-23,서울특별시 구로구 중앙로 76,37.50443359,126.861756
13,9441,20909132,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 송파구 거여동 289-6,서울특별시 송파구 양산로 3,37.48955032,127.1425554
14,10766,22316161,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 중구 신당동 369-36,서울특별시 중구 다산로 128-8,37.55488678,127.0112553
15,12572,22058134,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 서초구 잠원동 30-2,서울특별시 서초구 강남대로95길 41,37.51308901,127.0179604
16,13894,15575748,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 중구 장충동2가 192-5,서울특별시 중구 필동로1길 40,37.55858989,126.9984052
17,16377,20587435,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 마포구 도화동 17-1,서울특별시 마포구 마포대로 89,37.54318377,126.9498618
18,16608,16512272,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 관악구 신림동 763-23,서울특별시 관악구 난곡로 251-1,37.47653842,126.9155205
19,16609,16497141,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 광진구 자양동 680-65,서울특별시 광진구 자양로 76,37.53559477,127.0872864
20,17852,22065187,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 노원구 상계동 666,서울특별시 노원구 노원로 564,37.66163973,127.0561067
21,18544,22097355,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 서초구 반포동 505,서울특별시 서초구 반포대로 222,37.50238224,127.0058407
22,19028,22341460,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 도봉구 도봉동 563-2,서울특별시 도봉구 도봉로 871,37.68225928,127.0454039
23,19296,22719660,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 영등포구 여의도동 1,서울특별시 영등포구 의사당대로 1,37.53289782,126.9163908
24,19338,22422147,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 서대문구 대현동 90-101,서울특별시 서대문구 신촌로 161,37.55693422,126.9438627
25,21202,25495114,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 서초구 반포동 742-5,서울특별시 서초구 주흥1길 22,37.50383087,127.0196086
26,21546,21926150,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 양천구 신정동 1017-15,서울특별시 양천구 신월로 368,37.52187965,126.8619549
27,22019,28115781,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 종로구 종로6가 226,서울특별시 종로구 종로41길 39,37.57289125,127.0060815
28,23360,28077822,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 마포구 용강동 115-23,서울특별시 마포구 토정로 277,37.54218225,126.9406308
29,23361,28125493,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 은평구 갈현동 434-4,서울특별시 은평구 갈현로 277,37.62164217,126.9165426
30,24619,22399489,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 성북구 장위동 65-176,서울특별시 성북구 화랑로 203,37.60876425,127.0524035
31,25224,22412898,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 동대문구 이문동 291-31,서울특별시 동대문구 이문로 133,37.59851769,127.061208
32,26323,22489404,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강남구 대치동 901-12,서울특별시 강남구 역삼로71길 12,37.50269193,127.0545374
33,27361,27781819,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 노원구 월계동 447-1,서울특별시 노원구 광운로 20,37.619317,127.0582279
34,27972,20900428,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 송파구 송파동 113-2,서울특별시 송파구 백제고분로42길 5,37.50592296,127.1097146
35,28565,20901874,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 서초구 서초동 1570-5,서울특별시 서초구 반포대로28길 72,37.4916332,127.0123498
36,28614,28295837,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 도봉구 쌍문동 380-5,서울특별시 도봉구 우이천로 328-29,37.64747321,127.026993
37,29800,20903385,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 송파구 풍납동 497,서울특별시 송파구 풍성로 77,37.53333765,127.1211447
38,30118,20860888,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강동구 강일동 678-2,서울특별시 강동구 아리수로91길 20,37.56486307,127.173195
39,30383,20862147,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강동구 길동 403,서울특별시 강동구 양재대로112길 57,37.53636498,127.1431851
40,31485,21924552,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 서대문구 현저동 200,서울특별시 서대문구 독립문공원길 13,37.57192063,126.9582996
41,31632,25584156,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 강남구 논현동 141-17,서울특별시 강남구 학동로4길 8,37.510913,127.0228527
42,31925,28346831,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 양천구 신정동 282-29,서울특별시 양천구 목동동로8길 31-5,37.51632752,126.8721068
43,32683,21923061,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 관악구 신림동 1476-53,서울특별시 관악구 난곡로 275,37.47853298,126.9148925
44,32976,21569596,생활서비스,운송/배달/택배,우체국/우편물취급소,서울특별시 성북구 하월곡동 39-1,서울특별시 성북구 화랑로14길 5,37.6012914,127.0452956
