,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
10,B000008405,남서울중학교,중학교,서울특별시 관악구 신림동 1690-3,서울특별시 관악구 남부순환로172길 97,37.48213625,126.9210371
11,B000008365,봉은중학교,중학교,서울특별시 강남구 삼성동 82-7,서울특별시 강남구 영동대로128길 59,37.51897667,127.0623894
14,B000008184,선유중학교,중학교,서울특별시 영등포구 양평동3가 82,서울특별시 영등포구 선유로 213,37.53328647,126.8943293
17,B000008256,방산중학교,중학교,서울특별시 송파구 방이동 220,서울특별시 송파구 오금로29길 31,37.50937287,127.1218756
21,B000008269,세륜중학교,중학교,서울특별시 송파구 오금동 7-3,서울특별시 송파구 양재대로72길 41,37.50893314,127.1312464
22,B000008281,정신여자중학교,중학교,서울특별시 송파구 잠실동 50-4,서울특별시 송파구 올림픽로4길 16,37.50945384,127.0738473
24,B000025291,송례중학교,중학교,서울특별시 송파구 장지동 393,서울특별시 송파구 위례순환로 429,37.47783301,127.1397415
32,B000008385,남성중학교,중학교,서울특별시 동작구 사당동 304-45,서울특별시 동작구 남부순환로269길 166,37.47900822,126.972489
34,B000008343,원촌중학교,중학교,서울특별시 서초구 반포동 22,서울특별시 서초구 사평대로45길 10,37.5063251,127.0146997
36,B000008258,오륜중학교,중학교,서울특별시 송파구 방이동 89-7,서울특별시 송파구 양재대로 1242,37.51632395,127.1389238
42,B000008238,중앙중학교,중학교,서울특별시 종로구 계동 1-23,서울특별시 종로구 창덕궁길 164,37.58378822,126.9874726
43,B000008237,상명대학교사범대학부속여자중학교,중학교,서울특별시 종로구 홍지동 7-1,서울특별시 종로구 홍지문2길 20,37.60410891,126.9551595
47,B000008313,목동중학교,중학교,서울특별시 양천구 신정동 88-1,서울특별시 양천구 목동동로 172,37.5209572,126.8714631
56,B000008318,봉영여자중학교,중학교,서울특별시 양천구 신정동 325-8,서울특별시 양천구 목동동로2길 68,37.50921598,126.8601984
60,B000008319,등명중학교,중학교,서울특별시 강서구 등촌동 690-4,서울특별시 강서구 공항대로39길 39,37.56019335,126.8433041
70,B000008352,세화여자중학교,중학교,서울특별시 서초구 반포동 13,서울특별시 서초구 신반포로 56-7,37.5019828,126.99423
71,B000008399,인헌중학교,중학교,서울특별시 관악구 봉천동 1647,서울특별시 관악구 인헌9길 35,37.47269621,126.9688402
72,B000008255,성심여자중학교,중학교,서울특별시 용산구 원효로4가 1-1,서울특별시 용산구 원효로19길 49,37.53420937,126.9545934
77,B000008177,안천중학교,중학교,서울특별시 금천구 독산동 1089,서울특별시 금천구 한내로 69-44,37.45952426,126.8874988
81,B000008271,오주중학교,중학교,서울특별시 송파구 오금동 59,서울특별시 송파구 동남로 281,37.50150661,127.1362653
83,B000008302,신목중학교,중학교,서울특별시 양천구 목동 902-1,서울특별시 양천구 목동중앙로 88,37.53702399,126.8730725
84,B000008373,단국대학교사범대학부속중학교,중학교,서울특별시 강남구 대치동 1013-2,서울특별시 강남구 도곡로64길 21,37.49561749,127.0577682
92,B000008209,태랑중학교,중학교,서울특별시 노원구 공릉동 117,서울특별시 노원구 화랑로51나길 51,37.62698409,127.0913718
93,B000008377,은성중학교,중학교,서울특별시 강남구 도곡동 938-10,서울특별시 강남구 남부순환로359길 36,37.48837857,127.0352324
99,B000008386,장승중학교,중학교,서울특별시 동작구 상도동 175-1,서울특별시 동작구 장승배기로10가길 25,37.50314858,126.940834
107,B000008230,서울대학교사범대학부설여자중학교,중학교,서울특별시 종로구 동숭동 199-51,서울특별시 종로구 대학로 64,37.5775997,127.0042955
110,B000008267,방이중학교,중학교,서울특별시 송파구 방이동 53,서울특별시 송파구 오금로11길 64,37.51501058,127.1132445
115,B000008222,중원중학교,중학교,서울특별시 노원구 중계동 511-3,서울특별시 노원구 공릉로 420,37.64423868,127.0680295
116,B000008400,신관중학교,중학교,서울특별시 관악구 신림동 산168-10,서울특별시 관악구 신림로48길 17-16,37.48020125,126.9344522
118,B000008372,휘문중학교,중학교,서울특별시 강남구 대치동 952-1,서울특별시 강남구 역삼로 541,37.50528945,127.0619841
126,B000008369,역삼중학교,중학교,서울특별시 강남구 역삼동 767-20,서울특별시 강남구 도곡로43길 10,37.49593388,127.0488444
132,B000026185,항동중학교,중학교,서울특별시 구로구 항동 22-5,서울특별시 구로구 연동로 239-2,37.48285456,126.82019
135,B000008123,덕산중학교,중학교,서울특별시 은평구 신사동 265-4,서울특별시 은평구 가좌로 400,37.6022574,126.9046771
137,B000008120,연신중학교,중학교,서울특별시 은평구 불광동 400-4,서울특별시 은평구 연서로33길 16-32,37.62353926,126.9242879
140,B000008308,신원중학교,중학교,서울특별시 양천구 신월동 43-4,서울특별시 양천구 가로공원로55길 19,37.5370925,126.8248419
