No,연번,역번호,호선,역명,역전화번호,역주소,경도,위도,상태
1,1,150,1,서울역,02-6110-1331,서울특별시 중구 세종대로 지하 2 (남대문로 5가),126.972554437724,37.5571596420774,정좌표
2,2,151,1,시청,02-6110-1321,서울특별시 중구 세종대로 지하 101 (정동),126.976982913542,37.5654379394112,정좌표
3,3,152,1,종각,02-6110-1311,서울특별시 종로구 종로 지하 55 (종로1가),126.983239984492,37.5702144192216,정좌표
4,4,153,1,종로3가,02-6110-1301,서울특별시 종로구 종로 지하 129 (종로3가),126.992029489692,37.570426166069,정좌표
5,5,154,1,종로5가,02-6110-1291,서울특별시 종로구 종로 지하 216  (종로5가),127.001916398198,37.570907610908,정좌표
6,6,155,1,동대문,02-6110-1281,서울특별시 종로구 종로 지하 302 (창신동),127.011167445076,37.5717778630374,정좌표
7,7,156,1,신설동,02-6110-1261,서울특별시 동대문구 왕산로 지하 1 (신설동),127.024702167484,37.5753201746569,정좌표
8,8,157,1,제기동,02-6110-1251,서울특별시 동대문구 왕산로 지하 93 (제기동),127.034690406331,37.5781969581231,정좌표
9,9,158,1,청량리,02-6110-1241,서울특별시 동대문구 왕산로 지하 205(전농동),127.045085891039,37.5802328795893,정좌표
10,10,159,1,동묘앞,02-6110-1271,서울특별시 종로구 종로 359 (숭인동),127.016751310993,37.5733725320023,정좌표
11,11,200,2,까치산,02-6311-5181,서울특별시 강서구 강서로 지하54 (화곡동),126.846611635002,37.5319569303649,정좌표
12,12,201,2,시청,02-6110-2011,서울특별시 중구 세종대로 지하 101 (정동),126.976982913542,37.5654379394112,정좌표
13,13,202,2,을지로입구,02-6110-2021,서울특별시 중구 을지로 지하 42 (을지로1가),126.982372776548,37.5660509048826,정좌표
14,14,203,2,을지로3가,02-6110-2031,서울특별시 중구 을지로 지하 106 (을지로3가),126.990308280223,37.5662657010295,정좌표
15,15,204,2,을지로4가,02-6110-2041,서울특별시 중구 을지로 지하 178 (을지로4가),126.997852831884,37.5666360374475,정좌표
16,16,205,2,동대문역사문화공원,02-6110-2051,서울특별시 중구 을지로 지하 279 (을지로7가),127.009131489332,37.565589505457,정좌표
17,17,206,2,신당,02-6110-2061,서울특별시 중구 퇴계로 지하 431-1 (신당동),127.019540709601,37.5656548600944,정좌표
18,18,207,2,상왕십리,02-6110-2071,서울특별시 성동구 왕십리로 지하 374 (하왕십리동),127.02903144959,37.5644684400886,정좌표
19,19,208,2,왕십리,02-6110-2081,서울특별시 성동구 왕십리로 지하300 (행당동),127.036655740207,37.5612222038164,정좌표
20,20,209,2,한양대,02-6110-2091,서울특별시 성동구 왕십리로 206 (행당동),127.043584259479,37.5555773546978,정좌표
21,21,210,2,뚝섬,02-6110-2101,서울특별시 성동구 아차산로 18 (성수동1가),127.047364815358,37.5471879774231,정좌표
22,22,211,2,성수,02-6110-2111,서울특별시 성동구 아차산로 100 (성수동2가),127.056090470158,37.5445023533666,정좌표
23,23,212,2,건대입구,02-6110-2121,서울특별시 광진구 아차산로 243 (화양동),127.069173143828,37.5404192764847,정좌표
24,24,213,2,구의,02-6110-2131,서울특별시 광진구 아차산로 384-1 (구의동),127.08617894671,37.5371540973473,정좌표
25,25,214,2,강변,02-6110-2141,서울특별시 광진구 강변역로 53 (구의동),127.094664096938,37.5351689977897,정좌표
26,26,215,2,잠실나루,02-6110-2151,서울특별시 송파구 오금로 20 (신천동),127.103811254079,37.5206870238731,정좌표
27,27,216,2,잠실,02-6110-2161,서울특별시 송파구 올림픽로 지하 265 (잠실동),127.101857935269,37.5138595162075,정좌표
28,28,217,2,잠실새내,02-6110-2171,서울특별시 송파구 올림픽로 지하 140 (잠실동),127.086373999938,37.5115675138814,정좌표
29,29,218,2,종합운동장,02-6110-2181,서울특별시 송파구 올림픽로 지하 23 (잠실동),127.07335577987,37.5109691272365,정좌표
30,30,219,2,삼성,02-6110-2191,서울특별시 강남구 테헤란로 지하 538 (삼성동),127.063072785896,37.5088617483802,정좌표
31,31,220,2,선릉,02-6110-2201,서울특별시 강남구 테헤란로 지하 340 (삼성동),127.048942153468,37.5045024847264,정좌표
32,32,221,2,역삼,02-6110-2211,서울특별시 강남구 테헤란로 지하 156 (역삼동),127.036618370344,37.5007163091028,정좌표
33,33,222,2,강남,02-6110-2221,서울특별시 강남구 강남대로 지하 396 (역삼동),127.028307691072,37.4981641190125,정좌표
34,34,223,2,교대,02-6110-2231,서울특별시 서초구 서초대로 지하 294 (서초동),127.014155713304,37.4935774354341,정좌표
35,35,224,2,서초,02-6110-2241,서울특별시 서초구 서초대로 지하 233 (서초동),127.007580580352,37.4918230276164,정좌표
36,36,225,2,방배,02-6110-2251,서울특별시 서초구 방배로 지하 80 (방배동),126.997694733872,37.4814360529981,정좌표
37,37,226,2,사당,02-6110-2261,서울특별시 동작구 남부순환로 지하 2089 (사당동),126.9814089591,37.4765231351621,정좌표
38,38,227,2,낙성대,02-6110-2271,서울특별시 관악구 남부순환로 지하 1928 (봉천동),126.963409735402,37.4770647026825,정좌표
39,39,228,2,서울대입구,02-6110-2281,서울특별시 관악구 남부순환로 지하 1822 (봉천동),126.952645424709,37.4811525651509,정좌표
40,40,229,2,봉천,02-6110-2291,서울특별시 관악구 남부순환로 지하 1721 (봉천동),126.941495530723,37.4825560782476,정좌표
41,41,230,2,신림,02-6110-2301,서울특별시 관악구 남부순환로 지하 1614 (신림동),126.9298017842,37.4842150540518,정좌표
42,42,231,2,신대방,02-6110-2311,서울특별시 동작구 대림로 2 (신대방동),126.913176651961,37.4875780012861,정좌표
43,43,232,2,구로디지털단지,02-6110-2321,서울특별시 구로구 도림천로 477 (구로동),126.901494435579,37.4853144101578,정좌표
44,44,233,2,대림,02-6110-2331,서울 구로구 구로6동 125-66,128.601791833723,36.901592295147,인근좌표
45,45,234,2,신도림,02-6110-2341,서울특별시 구로구 새말로 지하 117-21 (신도림동),126.891080172222,37.5087696730023,정좌표
46,46,235,2,문래,02-6110-2351,서울특별시 영등포구 당산로 지하 28 (문래동3가),126.894762733337,37.5179214537192,정좌표
47,47,236,2,영등포구청,02-6110-2361,서울특별시 영등포구 당산로 지하 121 (당산동3가),126.896626652361,37.5256995484828,정좌표
48,48,237,2,당산,02-6110-2371,서울특별시 영등포구 당산로 229 (당산동 6가),126.902730628008,37.5349569673169,정좌표
49,49,238,2,합정,02-6110-2381,서울특별시 마포구 양화로 지하 55 (서교동),126.914638145265,37.5501153414909,정좌표
50,50,239,2,홍대입구,02-6110-2391,서울특별시 마포구 양화로 지하160 (동교동),126.923674531667,37.556890600335,정좌표
51,51,240,2,신촌,02-6110-2401,서울특별시 마포구 신촌로 지하 90 (노고산동),126.935539797813,37.5553130598542,정좌표
52,52,241,2,이대,02-6110-2411,서울특별시 마포구 신촌로 지하 180 (염리동),126.94547994725,37.5565003671563,정좌표
53,53,242,2,아현,02-6110-2421,서울특별시 마포구 신촌로 지하 270 (아현동),126.9560334962,37.5573573392608,정좌표
54,54,243,2,충정로,02-6110-2431,서울특별시 서대문구 서소문로 지하 17 (충정로3가),126.964474002754,37.5598385769632,정좌표
55,55,244,2,용답,02-6110-1341,서울특별시 성동구 용답길 86 (용답동),127.050729341908,37.5620055190153,정좌표
56,56,245,2,신답,02-6110-1351,서울특별시 성동구 천호대로 232 (용답동),127.046819902915,37.5699912240029,정좌표
57,57,246,2,신설동,02-6110-1371,서울특별시 동대문구 왕산로 지하 1 (신설동),127.024702167484,37.5753201746569,정좌표
58,58,247,2,도림천,02-6110-2441,서울특별시 구로구 경인로 67길 160 (신도림동),126.882701659206,37.5144407502251,정좌표
59,59,248,2,양천구청,02-6110-2451,서울특별시 양천구 목동로3길 지하 33(신정동),126.866064234206,37.5126974758134,정좌표
60,60,249,2,신정네거리,02-6110-2461,서울특별시 양천구 중앙로 지하 261 (신정동),126.852777516253,37.5196379134614,정좌표
61,61,250,2,용두,02-6110-1361,서울특별시 동대문구 천호대로 지하 129,127.038030771907,37.5739376909759,정좌표
62,62,309,3,지축,02-6110-3191,경기도 고양시 덕양구 삼송로 300 (지축동),126.909943813408,37.6497665537401,정좌표
63,63,310,3,구파발,02-6110-3201,서울특별시 은평구 진관2로 지하 15-25 (진관동),126.918753324784,37.6368548011666,정좌표
64,64,311,3,연신내,02-6110-3211,서울특별시 은평구 통일로 지하 849 (갈현동),126.921166657164,37.6189694826017,정좌표
65,65,312,3,불광,02-6110-3221,서울특별시 은평구 통일로 지하 723-1 (대조동 / 3호선 불광역),126.929985589427,37.6102063443594,정좌표
66,66,313,3,녹번,02-6110-3231,서울특별시 은평구 통일로 지하 602-1 (녹번동),126.93601248956,37.600730679242,정좌표
67,67,314,3,홍제,02-6110-3241,서울특별시 서대문구 통일로 지하 440-1 (홍제동),126.944242188342,37.5887097744174,정좌표
68,68,315,3,무악재,02-6110-3251,서울특별시 서대문구 통일로 지하 361 (홍제동),126.950321625993,37.5823837757585,정좌표
69,69,316,3,독립문,02-6110-3261,서울특별시 서대문구 통일로 지하 247 (현저동),126.957749728829,37.5744096891862,정좌표
70,70,317,3,경복궁,02-6110-3271,서울특별시 종로구 사직로 지하 130 (적선동),126.97306310829,37.5758614305055,정좌표
71,71,318,3,안국,02-6110-3281,서울특별시 종로구 율곡로 지하 62 (안국동),126.985823116051,37.5767210681084,정좌표
72,72,319,3,종로3가,02-6110-3291,서울특별시 종로구 종로 지하 129 (종로3가),126.992029489692,37.570426166069,정좌표
73,73,320,3,을지로3가,02-6110-3301,서울특별시 중구 을지로 지하 106 (을지로3가),126.990308280223,37.5662657010295,정좌표
74,74,321,3,충무로,02-6110-4231,서울특별시 중구 퇴계로 지하 199 (필동2가),126.994110579028,37.5611725851681,정좌표
75,75,322,3,동대입구,02-6110-3321,서울특별시 중구 동호로 지하 256 (장충동2가),127.005460095279,37.5590303937038,정좌표
76,76,323,3,약수,02-6110-3331,서울특별시 중구 다산로 지하 122 (신당동),127.010822839027,37.5545595077178,정좌표
77,77,324,3,금호,02-6110-3341,서울특별시 성동구 동호로 지하 104 (금호동4가),127.015894167792,37.5481132202293,정좌표
78,78,325,3,옥수,02-6110-3351,서울특별시 성동구 동호로 21 (옥수동) 옥수역,127.018329698976,37.5410463989414,정좌표
79,79,326,3,압구정,02-6110-3361,서울특별시 강남구 압구정로 지하 172 (신사동),127.028480607445,37.5264302776686,정좌표
80,80,327,3,신사,02-6110-3371,서울특별시 강남구 도산대로 지하 102 (신사동),127.020326779905,37.5164318791198,정좌표
81,81,328,3,잠원,02-6110-3381,서울특별시 서초구 잠원로 4길 지하 46 (잠원동),127.011219997286,37.5127992155139,정좌표
82,82,329,3,고속터미널,02-6110-3391,서울특별시 서초구 신반포로 지하 188 (반포동),127.004442272027,37.5046474981236,정좌표
83,83,330,3,교대,02-6110-3401,서울특별시 서초구 서초대로 지하 294 (서초동),127.014155713304,37.4935774354341,정좌표
84,84,331,3,남부터미널,02-6110-3411,서울특별시 서초구 서초중앙로 지하 31 (서초동),127.016206773243,37.4851401105839,정좌표
85,85,332,3,양재,02-6110-3421,서울특별시 서초구 남부순환로 지하 2585 (서초동),127.034543959569,37.4839350146888,정좌표
86,86,333,3,매봉,02-6110-3431,서울특별시 강남구 남부순환로 지하 2744 (도곡동),127.04661427216,37.4869609501937,정좌표
87,87,334,3,도곡,02-6110-3441,서울특별시 강남구 남부순환로 지하 2814 (도곡동),127.055323558596,37.4908642263312,정좌표
88,88,335,3,대치,02-6110-3451,서울특별시 강남구 남부순환로 지하 2952 (대치동),127.063429717822,37.494562998545,정좌표
89,89,336,3,학여울,02-6110-3461,서울특별시 강남구 남부순환로 지하 3104 (대치동),127.071719437826,37.4967172184787,정좌표
90,90,337,3,대청,02-6110-3471,서울특별시 강남구 일원로 지하 2 (일원동),127.079494059469,37.4937222540002,정좌표
91,91,338,3,일원,02-6110-3481,서울특별시 강남구 일원로 지하 121 (일원동),127.084451469283,37.4840726865077,정좌표
92,92,339,3,수서,02-6110-3491,서울특별시 강남구 광평로 지하 270 (수서동),127.101859891647,37.4873898885833,정좌표
93,93,340,3,가락시장,02-6311-8171,서울특별시 송파구 송파대로 지하 257 (가락동),127.118486044379,37.4927435901875,정좌표
94,94,341,3,경찰병원,02-3110-3511,서울특별시 송파구 중대로 지하 149 (가락동),127.124067077835,37.495601945157,정좌표
95,95,342,3,오금,02-6110-3521,서울특별시 송파구 오금로 지하 321 (오금동),127.127879646574,37.5022660665691,정좌표
96,96,409,4,당고개,02-6110-4091,서울특별시 노원구 상계로 305 (상계동),127.079010720031,37.6702922283885,정좌표
97,97,410,4,상계,02-6110-4101,서울특별시 노원구 상계로 182 (상계동),127.073575557096,37.6609033267453,정좌표
98,98,411,4,노원,02-6110-4111,서울특별시 노원구 상계로 69-1 (상계동),127.063030247789,37.6562679212181,정좌표
99,99,412,4,창동,02-6110-4121,서울특별시 도봉구 마들로 11길 77 (창동),127.047715364093,37.6532177608371,정좌표
100,100,413,4,쌍문,02-6110-4131,서울특별시 도봉구 도봉로 지하 486-1 (창동),127.034879828177,37.6488482879582,정좌표
101,101,414,4,수유,02-6110-4141,서울특별시 강북구 도봉로 지하 50 (미아동),127.030098270594,37.6132861239353,정좌표
102,102,415,4,미아,02-6110-4151,서울특별시 강북구 도봉로 지하 198 (미아동),127.026102898765,37.6264432366967,정좌표
103,103,416,4,미아사거리,02-6110-4161,서울특별시 강북구 도봉로 지하 50 (미아동),127.030098270594,37.6132861239353,정좌표
104,104,417,4,길음,02-6110-4171,서울특별시 성북구 동소문로 지하 248 (길음동),127.023642781472,37.6029488882535,정좌표
105,105,418,4,성신여대입구,02-6110-4181,서울특별시 성북구 동소문로 지하 102 (동선동4가),127.01647758551,37.5927176240607,정좌표
106,106,419,4,한성대입구,02-6110-4191,서울특별시 성북구 삼선교로 지하1 (삼선동1가),127.005950426527,37.5883949875094,정좌표
107,107,420,4,혜화,02-6110-4201,서울특별시 종로구 대학로 지하 120 (동숭동),127.002290720538,37.5818729842913,정좌표
108,108,421,4,동대문,02-6110-4211,서울특별시 종로구 율곡로 308,127.009546431744,37.5704111868619,정좌표
109,109,422,4,동대문역사문화공원,02-6110-4221,서울특별시 중구 장충단로 지하 230 (광희동 2가),127.007550991029,37.565079340272,정좌표
110,110,423,4,충무로,02-6110-4231,서울특별시 중구 퇴계로 지하 199 (필동2가),126.994110579028,37.5611725851681,정좌표
111,111,424,4,명동,02-6110-4241,서울특별시 중구 퇴계로 지하 126 (충무로2가),126.985947364551,37.5609097340214,정좌표
112,112,425,4,회현,02-6110-4251,서울특별시 중구 퇴계로 지하 54 (남창동),126.978239102863,37.5585346693014,정좌표
113,113,426,4,서울역,02-6110-4261,서울특별시 용산구 한강대로 지하 392(동자동) ,126.972805234403,37.5531993363178,정좌표
114,114,427,4,숙대입구,02-6110-4271,서울특별시 용산구 한강대로 지하 306,126.971876707566,37.5452013009972,정좌표
115,115,428,4,삼각지,02-6110-4281,서울특별시 용산구 한강대로 지하 180 (한강로1가),126.973350106123,37.5343871667969,정좌표
116,116,429,4,신용산,02-6110-4291,서울특별시 용산구 한강대로 지하 112 (한강로2가),126.968215665548,37.5296152057901,정좌표
117,117,430,4,이촌,02-6110-4301,서울특별시 용산구 용산동5가 17,126.975970680933,37.5229031682064,정좌표
118,118,431,4,동작,02-6110-4311,서울특별시 동작구 현충로 257 (동작동),126.980268633657,37.50287042323,정좌표
119,119,432,4,총신대입구,02-6110-4321,서울특별시 동작구 동작대로 지하 117 (사당동),126.982200159948,37.4875536603335,정좌표
120,120,433,4,사당,02-6110-4331,서울특별시 동작구 동작대로 3(사당동 / 사당역(4호선)),126.981595338179,37.4768630448883,정좌표
121,121,434,4,남태령,02-6110-4341,서울특별시 서초구 과천대로 지하 816 (방배동),126.988656738825,37.4648573019734,정좌표
122,122,2511,5,방화,02-6311-5101,서울특별시 강서구 금낭화로 지하132 (방화동),126.812631981372,37.5770068747935,정좌표
123,123,2512,5,개화산,02-6311-5111,서울특별시 강서구 양천로 22(방화동),126.806001344498,37.5722687716992,정좌표
124,124,2513,5,김포공항,02-6311-5121,서울특별시 강서구 하늘길 지하77 (방화동),126.80157044458,37.5621442173329,정좌표
125,125,2514,5,송정,02-6311-5131,서울특별시 강서구 공항대로 지하33 (공항동),126.811054385174,37.5614754452412,정좌표
126,126,2515,5,마곡,02-6311-5141,서울특별시 강서구 공항대로 지하163 (가양동),126.825548178914,37.5601981094995,정좌표
127,127,2516,5,발산,02-6311-5151,서울특별시 강서구 공항대로 지하267 (가양동),126.837309752671,37.5590277122863,정좌표
128,128,2517,5,우장산,02-6311-5161,서울특별시 강서구 강서로 지하262 (화곡동),126.836408699502,37.5489997202658,정좌표
129,129,2518,5,화곡,02-6311-5171,서울특별시 강서구 화곡로 지하168 (화곡동),126.840494941915,37.5414309528049,정좌표
130,130,2519,5,까치산,02-6311-5181,서울특별시 강서구 강서로 지하54(화곡동),126.846611635002,37.5319569303649,정좌표
131,131,2520,5,신정,02-6311-5191,서울특별시 양천구 오목로 지하179 (신정동),126.857262100374,37.5254310338299,정좌표
132,132,2521,5,목동,02-6311-5201,서울특별시 양천구 오목로 지하245 (목동),126.864732137583,37.5261812636363,정좌표
133,133,2522,5,오목교,02-6311-5211,서울특별시 양천구 오목로 지하342 (목동),126.875360645296,37.5244612182741,정좌표
134,134,2523,5,양평,02-6311-5221,서울특별시 영등포구 양산로 지하21 (양평동2가),126.886865699445,37.5255118207501,정좌표
135,135,2524,5,영등포구청,02-6311-5231,서울특별시 영등포구 당산로 지하 121 (당산동3가),126.896626652361,37.5256995484828,정좌표
136,136,2525,5,영등포시장,02-6311-5241,서울특별시 영등포구 양산로 지하200 (영등포동5가),126.90495915807,37.5227347403263,정좌표
137,137,2526,5,신길,02-6311-5251,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가),126.91433511343,37.5176652665413,정좌표
138,138,2527,5,여의도,02-6311-5261,서울특별시 영등포구 여의나루로 지하40 (여의도동),126.92448460577,37.5218421777929,정좌표
139,139,2528,5,여의나루,02-6311-5271,서울특별시 영등포구 여의동로 지하343 (여의도동),126.932864490333,37.5270858561364,정좌표
140,140,2529,5,마포,02-6311-5281,서울특별시 마포구 마포대로 지하33 (도화동),126.945448041474,37.5399853528211,정좌표
141,141,2530,5,공덕,02-6311-5291,서울특별시 마포구 마포대로 지하100 (공덕동),126.951363818383,37.544526403514,정좌표
142,142,2531,5,애오개,02-6311-5301,서울특별시 마포구 마포대로 지하210 (아현동),126.956613037683,37.5533625309889,정좌표
143,143,2532,5,충정로,02-6311-5311,서울특별시 서대문구 충정로 28-1,126.963373111492,37.5609929811838,정좌표
144,144,2533,5,서대문,02-6311-5321,서울특별시 종로구 통일로 지하126 (평동),126.966637547486,37.5658558479941,정좌표
145,145,2534,5,광화문,02-6311-5331,서울특별시 종로구 세종대로 지하172 (세종로),126.97678819401,37.5716225666053,정좌표
146,146,2535,5,종로3가,02-6311-5341,서울특별시 종로구 종로 지하 129 (종로3가),126.992029489692,37.570426166069,정좌표
147,147,2536,5,을지로4가,02-6311-5351,서울특별시 중구 을지로 지하 178 (을지로4가),126.997852831884,37.5666360374475,정좌표
148,148,2537,5,동대문역사문화공원,02-6311-5361,서울특별시 중구 을지로 지하 279 (을지로7가),127.009131489332,37.565589505457,정좌표
149,149,2538,5,청구,02-6311-5371,서울특별시 중구 청구로 지하77 (신당동),127.013806324477,37.5602942282045,정좌표
150,150,2539,5,신금호,02-6311-5381,서울특별시 성동구 금호로 지하154 (금호동2가),127.020064284518,37.5545331679205,정좌표
151,151,2540,5,행당,02-6311-5391,서울특별시 성동구 행당로 지하89 (행당동),127.029231688467,37.5572775516024,정좌표
152,152,2541,5,왕십리,02-6311-5401,서울특별시 성동구 왕십리로 지하300 (행당동),127.036655740207,37.5612222038164,정좌표
153,153,2542,5,마장,02-6311-5411,서울특별시 성동구 마장로 지하296 (마장동),127.043163666167,37.5662826834818,정좌표
154,154,2543,5,답십리,02-6311-5421,서울특별시 성동구 천호대로 지하300(용답동),127.053181079606,37.5664461289837,정좌표
155,155,2544,5,장한평,02-6311-5431,서울특별시 동대문구 천호대로 지하405 (장안동),127.064178612679,37.5620141995682,정좌표
156,156,2545,5,군자,02-6311-5441,서울특별시 광진구 천호대로 지하550,127.079017103048,37.5573629888913,정좌표
157,157,2546,5,아차산,02-6311-5451,서울특별시 광진구 천호대로 지하657,127.089370764522,37.5524014535023,정좌표
158,158,2547,5,광나루,02-6311-5461,서울특별시 광진구 아차산로 지하571 (광장동),127.103686090358,37.545279021119,정좌표
159,159,2548,5,천호,02-6311-5471,서울특별시 강동구 천호대로 지하997 (천호동),127.123742472236,37.5385788800274,정좌표
160,160,2549,5,강동,02-6311-5481,서울특별시 강동구 천호대로 지하1097 (천호동),127.133529498549,37.5355201695208,정좌표
161,161,2550,5,길동,02-6311-5491,서울특별시 강동구 양재대로 지하1480 (길동),127.139999193814,37.5378114875803,정좌표
162,162,2551,5,굽은다리,02-6311-5501,서울특별시 강동구 양재대로 지하1572 (명일동),127.142970907208,37.5457310778286,정좌표
163,163,2552,5,명일,02-6311-5511,서울특별시 강동구 양재대로 지하1632 (명일동),127.144000950021,37.5512594922583,정좌표
164,164,2553,5,고덕,02-6311-5521,서울특별시 강동구 고덕로 지하253 (고덕동),127.153949601437,37.5550477157248,정좌표
165,165,2554,5,상일동,02-6311-5531,서울특별시 강동구 고덕로 지하359 (상일동),127.165828809591,37.5566638108797,정좌표
166,166,2555,5,둔촌동,02-6311-5541,서울특별시 강동구 양재대로 지하1369 (둔촌동),127.136190186544,37.5276415216261,정좌표
167,167,2556,5,올림픽공원,02-6311-5551,서울특별시 송파구 양재대로 지하1233,127.130600382953,37.5160879536567,정좌표
168,168,2557,5,방이,02-6311-5561,서울특별시 송파구 양재대로 지하1127 (방이동),127.125854903312,37.5085568481389,정좌표
169,169,2558,5,오금,02-6110-3521,서울특별시 송파구 오금로 지하 321 (오금동),127.127879646574,37.5022660665691,정좌표
170,170,2559,5,개롱,02-6311-5581,서울특별시 송파구 오금로 지하402 (가락동),127.135159087878,37.4978146834493,정좌표
171,171,2560,5,거여,02-6311-5591,서울특별시 송파구 오금로 지하499 (거여동),127.144032743195,37.4932075787603,정좌표
172,172,2561,5,마천,02-6311-5601,서울특별시 송파구 마천로57길 지하7 (마천동),127.152320074137,37.4946699332802,정좌표
173,173,2611,6,응암,02-6311-6101,서울특별시 은평구 증산로 지하477 (역촌동),126.915511294636,37.5987403692124,정좌표
174,174,2612,6,역촌,02-6311-6111,서울특별시 은평구 서오릉로 지하63 (녹번동),126.92296350347,37.6060317391308,정좌표
175,175,2613,6,불광,02-6311-6121,서울특별시 은평구 통일로 지하 723-1 (대조동),126.929985589427,37.6102063443594,정좌표
176,176,2614,6,독바위,02-6311-6131,서울특별시 은평구 불광로 지하129-1 (불광동),126.93279152042,37.6183679580497,정좌표
177,177,2615,6,연신내,02-6311-6141,서울특별시 은평구 통일로 지하 849 (갈현동),126.921166657164,37.6189694826017,정좌표
178,178,2616,6,구산,02-6311-6151,서울특별시 은평구 연서로 지하137-1 (구산동),126.917162357435,37.6111779933895,정좌표
179,179,2617,6,새절,02-6311-6161,서울특별시 은평구 증산로 지하400 (신사동,126.913916490117,37.5918337849256,정좌표
180,180,2618,6,증산,02-6311-6171,서울특별시 은평구 증산로 지하306 (증산동),126.910056864797,37.5841948913364,정좌표
181,181,2619,6,디지털미디어시티,02-6311-6181,서울특별시 은평구 수색로 지하175 (증산동),126.901929347491,37.5771618330212,정좌표
182,182,2620,6,월드컵경기장,02-6311-6191,서울특별시 마포구 월드컵로 지하240 (성산동),126.899033655207,37.5699431459969,정좌표
183,183,2621,6,마포구청,02-6311-6201,서울특별시 마포구 월드컵로 지하190 (성산동),126.903356868546,37.5634258256228,정좌표
184,184,2622,6,망원,02-6311-6211,서울특별시 마포구 월드컵로 지하77 (망원동),126.910033930884,37.5560570840744,정좌표
185,185,2623,6,합정,02-6311-6221,서울특별시 마포구 양화로 지하 45 ,126.913677589914,37.550165828111,정좌표
186,186,2624,6,상수,02-6311-6231,서울특별시 마포구 독막로 지하85 (상수동),126.922409624235,37.5477718032448,정좌표
187,187,2625,6,광흥창,02-6311-6241,서울특별시 마포구 독막로 지하 165,126.931939470841,37.5474856182312,정좌표
188,188,2626,6,대흥,02-6311-6251,서울특별시 마포구 대흥로 지하 85,126.941506536711,37.5477003499819,정좌표
189,189,2627,6,공덕,02-6311-5291,서울특별시 마포구 백범로 지하 200(공덕동),126.951947741579,37.5435275358923,정좌표
190,190,2628,6,효창공원앞,02-6311-6271,서울특별시 용산구 백범로 지하287 (효창동),126.961221551499,37.5396008492816,정좌표
