,학교ID,학교명,학교급구분,소재지지번주소,소재지도로명주소,위도,경도
0,B000002310,서울동작초등학교,초등학교,서울특별시 동작구 사당동 산9-1,서울특별시 동작구 동작대로29길 214,37.49410161,126.9765088
2,B000002198,서울갈산초등학교,초등학교,서울특별시 양천구 신정동 330-10,서울특별시 양천구 목동로 31,37.51237156,126.8702299
3,B000002049,서울태랑초등학교,초등학교,서울특별시 노원구 공릉동 116,서울특별시 노원구 화랑로51나길 31,37.62625056,127.0906031
4,B000002065,서울한천초등학교,초등학교,서울특별시 노원구 월계동 3-7,서울특별시 노원구 마들로 45,37.62070936,127.0692435
6,B000002213,서울양동초등학교,초등학교,서울특별시 양천구 신정동 941,서울특별시 양천구 오목로23길 24,37.52584826,126.8512402
7,B000002295,서울신구초등학교,초등학교,서울특별시 강남구 신사동 550-11,서울특별시 강남구 압구정로18길 28,37.52336057,127.0239924
8,B000001877,서울봉화초등학교,초등학교,서울특별시 중랑구 신내동 655,서울특별시 중랑구 신내로15길 110,37.61357623,127.0924085
12,B000001876,서울중화초등학교,초등학교,서울특별시 중랑구 신내동 531,서울특별시 중랑구 신내로7가길 22,37.60292163,127.094065
13,B000002058,서울상월초등학교,초등학교,서울특별시 노원구 상계동 697,서울특별시 노원구 동일로221길 27,37.65865224,127.05698
15,B000001868,서울중목초등학교,초등학교,서울특별시 중랑구 면목동 180-5,서울특별시 중랑구 동일로 665,37.59008735,127.0793361
18,B000002008,서울영림초등학교,초등학교,서울특별시 영등포구 대림동 993-16,서울특별시 영등포구 시흥대로173길 14,37.48734601,126.9025393
19,B000002125,서울평화초등학교,초등학교,서울특별시 송파구 가락동 106,서울특별시 송파구 송파대로26길 22,37.49156712,127.1228237
23,B000025289,서울송례초등학교,초등학교,서울특별시 송파구 장지동 898,서울특별시 송파구 위례순환로 439,37.4778913,127.1384402
27,B000002202,서울양원초등학교,초등학교,서울특별시 양천구 신월동 260-1,서울특별시 양천구 화곡로 16,37.53821733,126.8231052
28,B000001873,서울상봉초등학교,초등학교,서울특별시 중랑구 상봉동 312-1,서울특별시 중랑구 동일로126가길 11,37.59797895,127.0831714
29,B000002069,서울원광초등학교,초등학교,서울특별시 노원구 중계동 359,서울특별시 노원구 덕릉로76길 18,37.65431092,127.0749142
30,B000002068,서울월계초등학교,초등학교,서울특별시 노원구 월계동 561,서울특별시 노원구 월계로45가길 10,37.62762424,127.0501876
35,B000002306,서울강남초등학교,초등학교,서울특별시 동작구 상도1동 501-1,서울특별시 동작구 강남초등길 15,37.50619275,126.9533591
37,B000002261,서울반포초등학교,초등학교,서울특별시 서초구 반포동 937,서울특별시 서초구 신반포로 55-4,37.50248483,126.9917416
38,B000001867,서울면동초등학교,초등학교,서울특별시 중랑구 면목동 551,서울특별시 중랑구 면목로57길 32,37.58535152,127.0865922
41,B000002256,서울원촌초등학교,초등학교,서울특별시 서초구 반포동 21,서울특별시 서초구 사평대로45길 26,37.50618948,127.0125656
44,B000002095,상명대학교사범대학부속초등학교,초등학교,서울특별시 종로구 홍지동 56,서울특별시 종로구 홍지문2길 1,37.60044056,126.9567149
46,B000002129,서울가원초등학교,초등학교,서울특별시 송파구 문정동 150-10,서울특별시 송파구 중대로4길 8,37.48944215,127.1110274
48,B000002289,서울논현초등학교,초등학교,서울특별시 강남구 논현동 168,서울특별시 강남구 강남대로120길 33,37.5084232,127.0262229
49,B000002281,서울구룡초등학교,초등학교,서울특별시 강남구 개포동 655,서울특별시 강남구 개포로 263,37.48119739,127.0517714
50,B000002089,서울독립문초등학교,초등학교,서울특별시 종로구 무악동 46-82,서울특별시 종로구 통일로12길 23,37.57421553,126.9599722
51,B000022762,서울공진초등학교,초등학교,서울특별시 강서구 마곡동 730-676,서울특별시 강서구 마곡서로 33,37.55780477,126.8226104
52,B000002314,서울영화초등학교,초등학교,서울특별시 동작구 대방동 13-2,서울특별시 동작구 등용로8길 3,37.50890811,126.9329735
53,B000002219,서울신곡초등학교,초등학교,서울특별시 강서구 화곡동 476-42,서울특별시 강서구 등촌로13자길 42-14,37.53909546,126.8560096
55,B000001894,서울불광초등학교,초등학교,서울특별시 은평구 불광동 272-2,서울특별시 은평구 불광로 51,37.61342945,126.9307187
57,B000002135,서울잠실초등학교,초등학교,서울특별시 송파구 신천동 20-2,서울특별시 송파구 올림픽로35길 20,37.52010753,127.1113114
58,B000025000,서울자곡초등학교,초등학교,서울특별시 강남구 자곡동 642,서울특별시 강남구 자곡로 150,37.47219072,127.0996665
59,B000002088,서울명신초등학교,초등학교,서울특별시 종로구 창신동 7-40,서울특별시 종로구 낙산길 250,37.58146865,127.0146229
61,B000002255,서울서원초등학교,초등학교,서울특별시 서초구 반포동 30-8,서울특별시 서초구 고무래로 63,37.5024389,127.0146195
62,B000002346,서울신성초등학교,초등학교,서울특별시 관악구 신림동 118-1,서울특별시 관악구 신림로 114,37.47200331,126.9367542
63,B000001875,서울신내초등학교,초등학교,서울특별시 중랑구 신내동 444,서울특별시 중랑구 용마산로125나길 22,37.60493422,127.1001285
64,B000001866,서울중곡초등학교,초등학교,서울특별시 중랑구 면목동 380,서울특별시 중랑구 면목로23길 20,37.57489173,127.083439
66,B000001850,서울전농초등학교,초등학교,서울특별시 동대문구 전농동 298,서울특별시 동대문구 사가정로 66,37.57473031,127.0543331
67,B000002117,서울한남초등학교,초등학교,서울특별시 용산구 한남동 726-1,서울특별시 용산구 한남대로 112,37.53920365,127.0055998
68,B000002143,서울마천초등학교,초등학교,서울특별시 송파구 마천동 183-4,서울특별시 송파구 마천로61다길 24,37.49550545,127.1526295
75,B000002138,서울가주초등학교,초등학교,서울특별시 송파구 가락동 140-6,서울특별시 송파구 오금로40길 37,37.49656722,127.1292617
78,B000002131,서울잠일초등학교,초등학교,서울특별시 송파구 잠실동 19-1,서울특별시 송파구 올림픽로 95,37.51474166,127.0816362
82,B000002227,서울정곡초등학교,초등학교,서울특별시 강서구 방화동 836,서울특별시 강서구 방화대로50길 22,37.57695491,126.8189328
