,Unnamed: 0,상가업소번호,상권업종대분류명,상권업종중분류명,상권업종소분류명,지번주소,도로명주소,위도,경도
0,34,20537010,소매,종합소매점,편의점,서울특별시 강북구 수유동 57-80,서울특별시 강북구 삼양로 306,37.63068406,127.0179445
1,41,28516285,소매,종합소매점,편의점,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로 315,37.60839154,127.0287256
2,81,28518797,소매,종합소매점,편의점,서울특별시 성북구 길음동 20-1,서울특별시 성북구 동소문로 315,37.60839154,127.0287256
3,88,22516616,소매,종합소매점,편의점,서울특별시 관악구 신림동 518-18,서울특별시 관악구 신사로 86,37.4862054,126.9124409
4,95,3156793,소매,종합소매점,편의점,서울특별시 구로구 구로동 744-51,서울특별시 구로구 구로동로18길 27,37.48788825,126.8861036
5,103,28522306,소매,종합소매점,편의점,서울특별시 서초구 신원동 285,서울특별시 서초구 청계산로9길 1-12,37.449678,127.0562222
6,121,24335208,소매,종합소매점,편의점,서울특별시 금천구 가산동 327-29,서울특별시 금천구 가산디지털2로 30,37.4712679,126.8836597
7,148,20698098,소매,종합소매점,편의점,서울특별시 강서구 화곡동 161-2,서울특별시 강서구 강서로18길 146,37.53512526,126.853607
8,156,28519978,소매,종합소매점,편의점,서울특별시 마포구 아현동 692,서울특별시 마포구 마포대로 262,37.55651142,126.9591593
9,171,22557902,소매,종합소매점,편의점,서울특별시 서대문구 남가좌동 338-6,서울특별시 서대문구 증가로 117,37.57695968,126.9243906
10,201,22554676,소매,종합소매점,편의점,서울특별시 용산구 후암동 105-124,서울특별시 용산구 후암로 23-1,37.54801459,126.9777238
11,325,28521745,소매,종합소매점,편의점,서울특별시 광진구 광장동 313-3,서울특별시 광진구 구천면로 2,37.54628015,127.105987
12,334,20865279,소매,종합소매점,편의점,서울특별시 광진구 광장동 244-6,서울특별시 광진구 아차산로 591,37.54613669,127.104891
13,338,26003692,소매,종합소매점,편의점,서울특별시 영등포구 신길동 1795,서울특별시 영등포구 가마산로 543,37.50489285,126.917316
14,374,22557751,소매,종합소매점,편의점,서울특별시 서초구 서초동 1697-14,서울특별시 서초구 서초대로53길 20-4,37.4959962,127.0147351
15,380,24103373,소매,종합소매점,편의점,서울특별시 중랑구 면목동 103-4,서울특별시 중랑구 겸재로 207,37.58924141,127.0905495
16,392,23839895,소매,종합소매점,편의점,서울특별시 관악구 신림동 725-12,서울특별시 관악구 난곡로35길 10,37.47286854,126.9181851
17,433,25274110,소매,종합소매점,편의점,서울특별시 금천구 시흥동 909-24,서울특별시 금천구 은행나무로 51,37.45114194,126.9081454
18,438,22515990,소매,종합소매점,편의점,서울특별시 금천구 가산동 149-27,서울특별시 금천구 시흥대로153길 89,37.47611155,126.8937742
19,479,24128333,소매,종합소매점,편의점,서울특별시 송파구 가락동 189-21,서울특별시 송파구 동남로18길 43,37.492971,127.1346794
20,574,24093799,소매,종합소매점,편의점,서울특별시 마포구 성산동 515,서울특별시 마포구 월드컵로 240,37.56827565,126.8972574
21,589,23935124,소매,종합소매점,편의점,서울특별시 관악구 봉천동 850,서울특별시 관악구 서림1길 77,37.47610427,126.9421748
22,597,24021796,소매,종합소매점,편의점,서울특별시 용산구 갈월동 98-31,서울특별시 용산구 한강대로77길 21,37.54163538,126.9715193
23,599,23910441,소매,종합소매점,편의점,서울특별시 강남구 역삼동 840,서울특별시 강남구 도곡로7길 6,37.49106384,127.0350416
24,621,9243878,소매,종합소매점,편의점,서울특별시 종로구 종로6가 18-2,서울특별시 종로구 율곡로 280,37.57249916,127.0076716
25,635,23256530,소매,종합소매점,편의점,서울특별시 송파구 가락동 8-1,서울특별시 송파구 중대로23길 20,37.50262802,127.1257913
26,677,22780747,소매,종합소매점,편의점,서울특별시 강동구 명일동 48-7,서울특별시 강동구 동남로 881,37.5522871,127.1557577
27,700,24139697,소매,종합소매점,편의점,서울특별시 노원구 상계동 716,서울특별시 노원구 노해로 485,37.65486515,127.0619043
28,745,22557422,소매,종합소매점,편의점,서울특별시 강동구 천호동 169-13,서울특별시 강동구 성안로25길 21,37.5382469,127.1343601
29,751,24090764,소매,종합소매점,편의점,서울특별시 마포구 상암동 1687,서울특별시 마포구 상암산로1길 69,37.58012951,126.8834402
30,850,24015547,소매,종합소매점,편의점,서울특별시 성북구 정릉동 260-117,서울특별시 성북구 보국문로16길 75,37.61311177,127.010145
31,871,24218680,소매,종합소매점,편의점,서울특별시 강서구 내발산동 716-24,서울특별시 강서구 강서로45라길 35,37.54938668,126.834082
32,879,23460674,소매,종합소매점,편의점,서울특별시 성북구 안암동5가 43,서울특별시 성북구 인촌로 113,37.58655882,127.0319532
33,918,24439659,소매,종합소매점,편의점,서울특별시 종로구 안국동 148,서울특별시 종로구 율곡로 53,37.5765873,126.9851109
34,934,22522572,소매,종합소매점,편의점,서울특별시 송파구 삼전동 34-13,서울특별시 송파구 삼전로4길 17-1,37.50183195,127.0884214
35,938,24031380,소매,종합소매점,편의점,서울특별시 중구 저동2가 69-1,서울특별시 중구 수표로 35-1,37.56441912,126.989883
36,969,24112077,소매,종합소매점,편의점,서울특별시 서대문구 북가좌동 371-12,서울특별시 서대문구 수색로 144,37.5753058,126.9052255
37,972,22533372,소매,종합소매점,편의점,서울특별시 강남구 역삼동 708-16,서울특별시 강남구 선릉로89길 16,37.50342172,127.0477987
38,1031,24260741,소매,종합소매점,편의점,서울특별시 종로구 인의동 31,서울특별시 종로구 종로31길 27,37.57206079,126.999504
39,1062,22559243,소매,종합소매점,편의점,서울특별시 양천구 신정동 311,서울특별시 양천구 목동서로 400,37.51499597,126.8582474
40,1069,24176177,소매,종합소매점,편의점,서울특별시 영등포구 영등포동8가 56-1,서울특별시 영등포구 국회대로53길 25,37.5276684,126.9062502
41,1091,24373003,소매,종합소매점,편의점,서울특별시 서초구 방배동 875-21,서울특별시 서초구 서초대로25길 27,37.48903283,126.9935677
42,1110,24278913,소매,종합소매점,편의점,서울특별시 마포구 토정동 3-17,서울특별시 마포구 토정로32길 12,37.54033616,126.9407474
43,1150,20906462,소매,종합소매점,편의점,서울특별시 노원구 공릉동 172,서울특별시 노원구 공릉로 232,37.63306923,127.0767711
44,1153,24251164,소매,종합소매점,편의점,서울특별시 강남구 대치동 898-16,서울특별시 강남구 선릉로82길 10,37.50247316,127.0508531
45,1170,22515318,소매,종합소매점,편의점,서울특별시 도봉구 창동 804,서울특별시 도봉구 덕릉로59아길 17,37.64191391,127.0379887
46,1174,22514613,소매,종합소매점,편의점,서울특별시 서초구 신원동 270-25,서울특별시 서초구 청계산로 179,37.44849463,127.0547226
47,1258,5217679,소매,종합소매점,편의점,서울특별시 서초구 우면동 712,서울특별시 서초구 형촌길 15,37.46328956,127.0214494
48,1268,22716901,소매,종합소매점,편의점,서울특별시 강남구 도곡동 422-4,서울특별시 강남구 논현로28길 56,37.48460509,127.0463641
