,주소,위도,경도,중학교 평균거리
0,서울특별시 중랑구 중랑천로 43,37.5889278,127.0729702,3.138705213740955
1,서울특별시 중랑구 중랑천로 332,37.6143473,127.0734985,2.2083781464912193
2,서울특별시 중랑구 중랑천로 20,37.58705252,127.0743178,6.352619564771454
3,서울특별시 중랑구 중랑천로 20,37.5875092,127.0754781,6.352619564771454
4,서울특별시 중랑구 용마산로86길 9-27,37.587218,127.0961012,6.183721388036416
5,서울특별시 중랑구 용마산로62길 43,37.5786737,127.0944957,4.4154866044487076
6,서울특별시 중랑구 용마산로129나길 101,37.6032755,127.0990429,7.881230512225299
7,서울특별시 중랑구 용마산로129가길 41,37.6055942,127.1001416,6.945804396611794
8,서울특별시 중랑구 용마산로125길 92,37.6037095,127.1011542,7.434535720246539
9,서울특별시 중랑구 용마산로125길 50,37.6032482,127.1002646,8.125319703752886
10,서울특별시 중랑구 용마산로112가길 34,37.597046,127.1020462,6.19251359082465
11,서울특별시 중랑구 용마산로 669,37.6109282,127.0994663,1.4548410103561102
12,서울특별시 중랑구 용마산로 616,37.6051873,127.1014689,6.729409855472824
13,서울특별시 중랑구 용마산로 348,37.582864,127.0943633,11.156487396388966
14,서울특별시 중랑구 용마산로 290,37.5770579,127.091721,4.0580365909010165
15,서울특별시 중랑구 용마산로 285,37.5783275,127.0904636,4.311321929699235
16,서울특별시 중랑구 용마산로 278,37.5774892,127.0907522,4.151463840705879
17,서울특별시 중랑구 용마산로 271,37.5773348,127.0892552,4.024953768241756
18,서울특별시 중랑구 용마산로 259,37.5763667,127.088375,3.599087934863102
19,서울특별시 중랑구 용마산로 252,37.5757254,127.0892098,3.419443844996067
20,서울특별시 중랑구 용마산로 228,37.5918939,127.0878438,1.2121006771149196
21,서울특별시 중랑구 용마산로 210,37.57185787,127.0870702,4.067362163605608
22,서울특별시 중랑구 용마산로 209,37.572678,127.085956,3.9895559250349666
23,서울특별시 중랑구 양원역로6가길 19,37.6027085,127.1101282,7.606923355833492
24,서울특별시 중랑구 양원역로 18,37.6027744,127.1086486,8.75687771412709
25,서울특별시 중랑구 신내역로1길 85,37.6188699,127.1067198,
26,서울특별시 중랑구 신내역로 165,37.6166178,127.1095902,
27,서울특별시 중랑구 신내역로 160,37.61675429,127.111452,
28,서울특별시 중랑구 신내로7길 20,37.6010825,127.0931157,5.632243102686279
29,서울특별시 중랑구 신내로7가길 31,37.6020644,127.093838,6.029638871330642
