,주소,위도,경도,지하철 평균거리
0,서울특별시 중랑구 중랑천로 43,37.5889278,127.0729702,
1,서울특별시 중랑구 중랑천로 332,37.6143473,127.0734985,7.813075377
2,서울특별시 중랑구 중랑천로 20,37.58705252,127.0743178,
3,서울특별시 중랑구 중랑천로 20,37.5875092,127.0754781,
4,서울특별시 중랑구 용마산로86길 9-27,37.587218,127.0961012,2.291185931
5,서울특별시 중랑구 용마산로62길 43,37.5786737,127.0944957,2.818254493
6,서울특별시 중랑구 용마산로129나길 101,37.6032755,127.0990429,
7,서울특별시 중랑구 용마산로129가길 41,37.6055942,127.1001416,1.176619444
8,서울특별시 중랑구 용마산로125길 92,37.6037095,127.1011542,
9,서울특별시 중랑구 용마산로125길 50,37.6032482,127.1002646,
10,서울특별시 중랑구 용마산로112가길 34,37.597046,127.1020462,
11,서울특별시 중랑구 용마산로 669,37.6109282,127.0994663,2.965824432
12,서울특별시 중랑구 용마산로 616,37.6051873,127.1014689,1.138754216
13,서울특별시 중랑구 용마산로 348,37.582864,127.0943633,2.801162427
14,서울특별시 중랑구 용마산로 290,37.5770579,127.091721,3.850210226
15,서울특별시 중랑구 용마산로 285,37.5783275,127.0904636,4.481760931
16,서울특별시 중랑구 용마산로 278,37.5774892,127.0907522,4.322495055
17,서울특별시 중랑구 용마산로 271,37.5773348,127.0892552,4.952833958
18,서울특별시 중랑구 용마산로 259,37.5763667,127.088375,5.143134982
19,서울특별시 중랑구 용마산로 252,37.5757254,127.0892098,4.782138093
20,서울특별시 중랑구 용마산로 228,37.5918939,127.0878438,4.134577884
21,서울특별시 중랑구 용마산로 210,37.57185787,127.0870702,4.139514383
22,서울특별시 중랑구 용마산로 209,37.572678,127.085956,3.614023385
23,서울특별시 중랑구 양원역로6가길 19,37.6027085,127.1101282,
24,서울특별시 중랑구 양원역로 18,37.6027744,127.1086486,
25,서울특별시 중랑구 신내역로1길 85,37.6188699,127.1067198,1.317151749
26,서울특별시 중랑구 신내역로 165,37.6166178,127.1095902,1.31103908
27,서울특별시 중랑구 신내역로 160,37.61675429,127.111452,1.094420666
28,서울특별시 중랑구 신내로7길 20,37.6010825,127.0931157,1.200673347
29,서울특별시 중랑구 신내로7가길 31,37.6020644,127.093838,1.053037101
30,서울특별시 중랑구 신내로21길 16,37.6170175,127.0893092,5.47052115
31,서울특별시 중랑구 신내로19길 42,37.6153429,127.091946,4.293702774
32,서울특별시 중랑구 신내로17길 41,37.6141198,127.093395,3.227404422
33,서울특별시 중랑구 신내로16길 17,37.61417494,127.0971822,3.499871318
34,서울특별시 중랑구 신내로14길 21,37.6063234,127.0975415,1.17120264
35,서울특별시 중랑구 신내로 51,37.6048367,127.0947898,
36,서울특별시 중랑구 신내로 208,37.6169184,127.0935671,4.372340761
37,서울특별시 중랑구 신내로 155,37.6137027,127.0951075,3.305309181
38,서울특별시 중랑구 신내로 128,37.6092058,127.098393,1.839460161
39,서울특별시 중랑구 신내로 127,37.6122193,127.0944007,5.789397498
40,서울특별시 중랑구 신내로 127,37.6119902,127.0947323,5.789397498
41,서울특별시 중랑구 신내로 115,37.6092763,127.0946105,2.246802811
42,서울특별시 중랑구 신내로 112,37.608527,127.0962591,1.377713395
43,서울특별시 중랑구 숙선옹주로9길 25,37.6153547,127.0835522,7.077371913
44,서울특별시 중랑구 숙선옹주로 91,37.6166943,127.0848708,6.983896249
45,서울특별시 중랑구 숙선옹주로 45,37.61718228,127.0818336,7.908968983
46,서울특별시 중랑구 송림길 16,37.6060585,127.0971514,1.115721337
47,서울특별시 중랑구 상봉중앙로8길 76,37.6024565,127.0911038,1.233698441
48,서울특별시 중랑구 상봉중앙로8길 104,37.6033569,127.0926848,1.024151761
49,서울특별시 중랑구 상봉중앙로1다길 21,37.5996773,127.0886359,3.153565969
50,서울특별시 중랑구 상봉로 131,37.59736204,127.0922043,1.66502228
51,서울특별시 중랑구 사가정로72길 26,37.579904,127.093493,3.02485226
52,서울특별시 중랑구 사가정로71길 19,37.5811929,127.0954286,1.619403349
53,서울특별시 중랑구 사가정로71길 11,37.5810758,127.0944705,1.878242919
54,서울특별시 중랑구 봉화산로56길 51,37.6061739,127.0987566,1.214335561
55,서울특별시 중랑구 봉화산로56길 145-1,37.6033568,127.0981187,
