번호,주소,시군구,경도,위도,소방서 평균거리,초등학교 평균거리,우체국 평균거리,지하철 평균거리,전통시장 평균거리,편의점 평균거리,유치원 평균거리,중학교 평균거리,어린이집 평균거리
,서울특별시 중랑구 중랑천로 43,중랑구,127.0729702,37.5889278,,7.157484788,4.256044333,,2.926259177,86.34754887,12.43855885,3.138705214,61.11205266
1,서울특별시 중랑구 중랑천로 332,중랑구,127.0734985,37.6143473,,7.216441334,1.208203038,7.813075377,,103.654898,9.207531628,2.208378146,86.62734108
2,서울특별시 중랑구 중랑천로 20,중랑구,127.0743178,37.58705252,,14.46515528,4.834366384,,3.39644063,173.6029434,28.11008463,6.352619565,118.3135395
3,서울특별시 중랑구 중랑천로 20,중랑구,127.0754781,37.5875092,,14.46515528,4.834366384,,3.39644063,173.6029434,28.11008463,6.352619565,118.3135395
4,서울특별시 중랑구 용마산로86길 9-27,중랑구,127.0961012,37.587218,1.079498435,5.53497544,,2.291185931,7.338606497,99.33997156,5.654761325,6.183721388,58.930063
5,서울특별시 중랑구 용마산로62길 43,중랑구,127.0944957,37.5786737,,3.708893034,,2.818254493,4.199443148,46.60316396,4.800055368,4.415486604,31.39403804
6,서울특별시 중랑구 용마산로129나길 101,중랑구,127.0990429,37.6032755,1.014431239,10.56945133,,,4.961928949,84.76121602,14.36124776,7.881230512,109.0850829
7,서울특별시 중랑구 용마산로129가길 41,중랑구,127.1001416,37.6055942,,10.03018371,,1.176619444,4.631578224,64.62128641,13.79254085,6.945804397,99.50122006
8,서울특별시 중랑구 용마산로125길 92,중랑구,127.1011542,37.6037095,,10.36629123,,,4.360760188,73.4906071,13.38797473,7.43453572,94.11669643
9,서울특별시 중랑구 용마산로125길 50,중랑구,127.1002646,37.6032482,,10.49438039,,,4.598886275,81.82096739,13.94562926,8.125319704,101.7451079
10,서울특별시 중랑구 용마산로112가길 34,중랑구,127.1020462,37.597046,1.359190945,9.29002969,,,3.551816917,86.69436949,9.806065367,6.192513591,64.31337916
11,서울특별시 중랑구 용마산로 669,중랑구,127.0994663,37.6109282,,6.351100599,,2.965824432,3.888451194,30.62291189,10.11921625,1.45484101,70.62792532
12,서울특별시 중랑구 용마산로 616,중랑구,127.1014689,37.6051873,,9.840999143,,1.138754216,4.298488371,63.30095372,13.2771305,6.729409855,88.46855793
13,서울특별시 중랑구 용마산로 348,중랑구,127.0943633,37.582864,,5.013399965,,2.801162427,6.366075676,83.601531,4.737159904,11.1564874,50.34327474
14,서울특별시 중랑구 용마산로 290,중랑구,127.091721,37.5770579,,4.835725979,1.132620089,3.850210226,5.359658494,56.53958328,8.104190658,4.058036591,34.33657645
15,서울특별시 중랑구 용마산로 285,중랑구,127.0904636,37.5783275,,6.253998594,1.054359967,4.481760931,7.212502739,71.46382883,10.2974122,4.31132193,45.62700785
16,서울특별시 중랑구 용마산로 278,중랑구,127.0907522,37.5774892,,5.973186595,1.139858548,4.322495055,6.334665459,64.32143945,9.394717115,4.151463841,40.81932175
17,서울특별시 중랑구 용마산로 271,중랑구,127.0892552,37.5773348,,6.40011498,1.242810358,4.952833958,7.427991297,71.85988526,10.30328548,4.024953768,45.81069473
18,서울특별시 중랑구 용마산로 259,중랑구,127.088375,37.5763667,,5.733108784,1.477926859,5.143134982,7.562000873,70.33380235,10.78333202,3.599087935,49.12357274
19,서울특별시 중랑구 용마산로 252,중랑구,127.0892098,37.5757254,,5.962002237,1.562300456,4.782138093,6.714102079,64.08241657,10.80673757,3.419443845,44.16702446
